## Ftp pointers pulled out using the TEXT metainfo at ENA for PRJEB9586 (there are two pointers which is admittedly a little confusing, due to multiple people working on the upload - apologies)
## Additional metainfo added, based on meta data for general download webpage: http://reichdata.hms.harvard.edu/pub/datasets/sgdp/. Hopefully this should make things easier. At some point we should clean up the ENA distribution portal to clarify the separate pointers for different data chunks
# 1-n	2-ena_id	3-Illumina_ID	4-reich_id	5-ena_ftp_bam_ptr	6-Sequencing_Panel	7-Gender	8-Population_ID	9-Contributor	10-Region	11-Country	12-Town	13-Latitude	14-Longitude	15-DNA_Source	16-BioSamples Accession	17-Embargo
166	SAMEA3302780	LP6005677-DNA_B01	S_Albanian-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324400/LP6005677-DNA_B01.srt.aln.bam	C	F	Albanian	David Comas	WestEurasia	Albania	Tirana	41.3	19.8	Genomic_from_blood	SAMEA3302780	FullyPublic
167	SAMEA3302880	LP6005441-DNA_G05	S_Hezhen-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312818/LP6005441-DNA_G05.srt.aln.bam	C	M	Hezhen	Howard Cann	EastAsia	China	?	47.5	133.5	Genomic_from_cell_lines	SAMEA3302880	FullyPublic
168	SAMEA3302845	LP6005441-DNA_H05	S_Hezhen-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312826/LP6005441-DNA_H05.srt.aln.bam	C	F	Hezhen	Howard Cann	EastAsia	China	?	47.5	133.5	Genomic_from_cell_lines	SAMEA3302845	FullyPublic
169	SAMEA3302822	LP6005441-DNA_C11	S_Sardinian-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324872/LP6005441-DNA_C11.srt.aln.bam	C	M	Sardinian	Howard Cann	WestEurasia	Italy(Sardinia)	?	40	9	Genomic_from_cell_lines	SAMEA3302822	FullyPublic
170	SAMEA3302813	LP6005441-DNA_D11	S_Sardinian-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312797/LP6005441-DNA_D11.srt.aln.bam	C	F	Sardinian	Howard Cann	WestEurasia	Italy(Sardinia)	?	40	9	Genomic_from_cell_lines	SAMEA3302813	FullyPublic
171	SAMEA3302812	LP6005442-DNA_C11	S_Kinh-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312847/LP6005442-DNA_C11.srt.aln.bam	C	M	Kinh	1KG	EastAsia	Vietnam	Ho Chi Minh City	21	105.9	Genomic_from_cell_lines	SAMEA3302812	FullyPublic
172	SAMEA3302613	LP6005442-DNA_D11	S_Kinh-1	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125660/srt.aln.bam	C	F	Kinh	1KG	EastAsia	Vietnam	Ho Chi Minh City	21	105.9	Genomic_from_cell_lines	SAMEA3302613	FullyPublic
173	SAMEA3302631	LP6005442-DNA_G10	S_Gambian-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324274/LP6005442-DNA_G10.srt.aln.bam	C	M	Gambian	1KG	Africa	Gambia	Western District	13.4	16.7	Genomic_from_cell_lines	SAMEA3302631	FullyPublic
174	SAMEA3302886	LP6005442-DNA_H10	S_Gambian-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324281/LP6005442-DNA_H10.srt.aln.bam	C	F	Gambian	1KG	Africa	Gambia	Western District	13.4	16.7	Genomic_from_cell_lines	SAMEA3302886	FullyPublic
175	SAMEA3302733	SS6004480	B_Dinka-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324533/SS6004480.srt.aln.bam	B	M	Dinka	Michael Hammer	Africa	Sudan	Aweil	8.783333333	27.4	Genomic_from_saliva	SAMEA3302733	FullyPublic
176	SAMEA3302712	SS6004468	B_French-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324534/SS6004468.srt.aln.bam	B	M	French	Howard Cann	WestEurasia	France	?	46	2	Genomic_from_cell_lines	SAMEA3302712	FullyPublic
177	SAMEA3302728	LP6005441-DNA_B01	S_Adygei-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312774/LP6005441-DNA_B01.srt.aln.bam	C	F	Adygei	Howard Cann	WestEurasia	Russia(Caucasus)	Krasnodar	44	39	Genomic_from_cell_lines	SAMEA3302728	FullyPublic
178	SAMEA3302656	LP6005441-DNA_A01	S_Adygei-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312767/LP6005441-DNA_A01.srt.aln.bam	C	M	Adygei	Howard Cann	WestEurasia	Russia(Caucasus)	Krasnodar	44	39	Genomic_from_cell_lines	SAMEA3302656	FullyPublic
179	SAMEA3302694	LP6005619-DNA_C01	S_Saharawi-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324397/LP6005619-DNA_C01.srt.aln.bam	C	M	Saharawi	David Comas	Africa	Western Sahara (Morocco)	Close to the Algerian border	27.3	-8.9	Genomic_from_blood	SAMEA3302694	FullyPublic
180	SAMEA3302857	LP6005619-DNA_B01	S_Saharawi-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324396/LP6005619-DNA_B01.srt.aln.bam	C	M	Saharawi	David Comas	Africa	Western Sahara (Morocco)	Close to the Algerian border	27.3	-8.9	Genomic_from_blood	SAMEA3302857	FullyPublic
181	SAMEA3302820	LP6005442-DNA_D03	S_Chechen-1	ftp.sra.ebi.ac.uk/vol1/ERZ125/ERZ125656/srt.aln.bam	C	M	Chechen	Mait Metspalu / Elza Khusnutdinova / Rita Khusainova	WestEurasia	Russia	Grozny_in_Chechen_Republic	43.333	45.65	Genomic_from_blood	SAMEA3302820	FullyPublic
182	SAMEA3302826	LP6005443-DNA_B07	S_Thai-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324296/LP6005443-DNA_B07.srt.aln.bam	C	F	Thai	ECCAC	EastAsia	Thailand	Cell_line_repository_sampling_location_unknown	13.8	100.5	Genomic_from_cell_lines	SAMEA3302826	FullyPublic
183	SAMEA3302663	LP6005443-DNA_A07	S_Thai-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324288/LP6005443-DNA_A07.srt.aln.bam	C	M	Thai	ECCAC	EastAsia	Thailand	Cell_line_repository_sampling_location_unknown	13.8	100.5	Genomic_from_cell_lines	SAMEA3302663	FullyPublic
184	SAMEA3302894	SS6004473	B_Ju_hoan_North-4	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324536/SS6004473.srt.aln.bam	B	M	Ju_hoan_North	Howard Cann	Africa	Namibia	?	-18.93725689	21.45244764	Genomic_from_cell_lines	SAMEA3302894	FullyPublic
185	SAMEA3302890	LP6005441-DNA_D01	S_Balochi-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312789/LP6005441-DNA_D01.srt.aln.bam	C	M	Balochi	Howard Cann	SouthAsia	Pakistan	?	30.5	66.5	Genomic_from_cell_lines	SAMEA3302890	FullyPublic
186	SAMEA3449877	LP6005441-DNA_C01	S_Balochi-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324867/LP6005441-DNA_C01.srt.aln.bam	C	M	Balochi	Howard Cann	SouthAsia	Pakistan	?	30.49871492	66.5	Genomic_from_cell_lines	SAMEA3449877	FullyPublic
187	SAMEA3302819	LP6005443-DNA_C09	S_Kusunda-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324306/LP6005443-DNA_C09.srt.aln.bam	C	M	Kusunda	Aashish R. Jha / George van Driem / Irene Gallego Romero	SouthAsia	Nepal	"Ghorahi, Dang"	28.07245287	82.48778	Genomic_from_saliva	SAMEA3302819	FullyPublic
188	SAMEA3302867	LP6005441-DNA_C06	S_Japanese-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312784/LP6005441-DNA_C06.srt.aln.bam	C	M	Japanese	Howard Cann	EastAsia	Japan	?	37.85	139	Genomic_from_cell_lines	SAMEA3302867	FullyPublic
189	SAMEA3302906	LP6005441-DNA_D06	S_Japanese-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312794/LP6005441-DNA_D06.srt.aln.bam	C	F	Japanese	Howard Cann	EastAsia	Japan	?	37.85	139	Genomic_from_cell_lines	SAMEA3302906	FullyPublic
190	SAMEA3302852	LP6005592-DNA_C02	S_Japanese-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324382/LP6005592-DNA_C02.srt.aln.bam	C	M	Japanese	Coriell	EastAsia	Japan	Tokyo	37.85	139	Genomic_from_cell_lines	SAMEA3302852	FullyPublic
191	SAMEA3302677	LP6005441-DNA_C03	S_Brahui-2	ftp.sra.ebi.ac.uk/vol1/ERZ325/ERZ325062/LP6005441-DNA_C03.srt.aln.bam	C	M	Brahui	Howard Cann	SouthAsia	Pakistan	?	30.5	66.5	Genomic_from_cell_lines	SAMEA3302677	FullyPublic
192	SAMEA3302782	LP6005441-DNA_D03	S_Brahui-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312791/LP6005441-DNA_D03.srt.aln.bam	C	M	Brahui	Howard Cann	SouthAsia	Pakistan	?	30.5	66.5	Genomic_from_cell_lines	SAMEA3302782	FullyPublic
193	SAMEA3302724	LP6005519-DNA_C06	S_Igorot-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324358/LP6005519-DNA_C06.srt.aln.bam	C	F	Igorot	Toomas Kivisild / Joseph Wee Tien Seng	Oceania	Philippines	"Mountain Province, Luzon Island (sampled in Singapore)"	17.1	121	Genomic_from_saliva	SAMEA3302724	FullyPublic
194	SAMEA3302696	LP6005519-DNA_D06	S_Igorot-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324363/LP6005519-DNA_D06.srt.aln.bam	C	M	Igorot	Toomas Kivisild / Joseph Wee Tien Seng	Oceania	Philippines	"Mountain Province, Luzon Island (sampled in Singapore)"	17.1	121	Genomic_from_saliva	SAMEA3302696	FullyPublic
195	SAMEA3302645	LP6005519-DNA_H03	S_Brahmin-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324373/LP6005519-DNA_H03.srt.aln.bam	C	M	Brahmin	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	Visakhapatnam	17.7	83.3	Genomic_from_blood	SAMEA3302645	FullyPublic
196	SAMEA3302829	LP6005519-DNA_G03	S_Brahmin-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324371/LP6005519-DNA_G03.srt.aln.bam	C	M	Brahmin	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	Visakhapatnam	17.7	83.3	Genomic_from_blood	SAMEA3302829	FullyPublic
197	SAMEA3302904	LP6005441-DNA_H07	S_Mayan-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312828/LP6005441-DNA_H07.srt.aln.bam	C	F	Mayan	Howard Cann	America	Mexico	?	19	-91	Genomic_from_cell_lines	SAMEA3302904	FullyPublic
198	SAMEA3302866	LP6005441-DNA_G07	S_Mayan-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312820/LP6005441-DNA_G07.srt.aln.bam	C	F	Mayan	Howard Cann	America	Mexico	?	19	-91	Genomic_from_cell_lines	SAMEA3302866	FullyPublic
199	SAMEA3302650	SS6004472	B_Papuan-15	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324541/SS6004472.srt.aln.bam	B	M	Papuan	Howard Cann	Oceania	PapuaNewGuinea	?	-4	143	Genomic_from_cell_lines	SAMEA3302650	FullyPublic
200	SAMEA3302911	LP6005443-DNA_D09	S_Kusunda-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324315/LP6005443-DNA_D09.srt.aln.bam	C	M	Kusunda	Aashish R. Jha / George van Driem / Irene Gallego Romero	SouthAsia	Nepal	"Damauli, Tanahu"	28.07245287	84.259486	Genomic_from_saliva	SAMEA3302911	FullyPublic
201	SAMEA3302705	LP6005592-DNA_E01	S_Iraqi_Jew-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324388/LP6005592-DNA_E01.srt.aln.bam	C	M	Iraqi_Jew	Tel-Aviv University	WestEurasia	Iraq	Cell_line_repository	33.3	44.4	Genomic_from_cell_lines	SAMEA3302705	FullyPublic
202	SAMEA3302747	LP6005592-DNA_F01	S_Iraqi_Jew-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324390/LP6005592-DNA_F01.srt.aln.bam	C	F	Iraqi_Jew	Tel-Aviv University	WestEurasia	Iraq	Cell_line_repository	33.3	44.4	Genomic_from_cell_lines	SAMEA3302747	FullyPublic
203	SAMEA3302736	SS6004470	B_Mandenka-3	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324538/SS6004470.srt.aln.bam	B	M	Mandenka	Howard Cann	Africa	Senegal	?	12	-12	Genomic_from_cell_lines	SAMEA3302736	FullyPublic
204	SAMEA3302753	LP6005442-DNA_F02	S_Altaian-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324262/LP6005442-DNA_F02.srt.aln.bam	C	M	Altaian	Mait Metspalu / Olga Posukh	CentralAsiaSiberia	Russia	"Tenga, Ongudaisky district, Altai Republic"	50.84	85.654	Genomic_from_blood	SAMEA3302753	FullyPublic
205	SAMEA3302665	LP6005441-DNA_F12	S_Tujia-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312815/LP6005441-DNA_F12.srt.aln.bam	C	F	Tujia	Howard Cann	EastAsia	China	?	29	109	Genomic_from_cell_lines	SAMEA3302665	FullyPublic
206	SAMEA3302687	LP6005443-DNA_E06	S_Masai-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324319/LP6005443-DNA_E06.srt.aln.bam	C	M	Masai	Coriell	Africa	Kenya	Kinyawa	-1.5	35.2	Genomic_from_cell_lines	SAMEA3302687	FullyPublic
207	SAMEA3302814	LP6005443-DNA_F06	S_Masai-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324329/LP6005443-DNA_F06.srt.aln.bam	C	M	Masai	Coriell	Africa	Kenya	Kinyawa	-1.5	35.2	Genomic_from_cell_lines	SAMEA3302814	FullyPublic
208	SAMEA3302827	LP6005592-DNA_D03	S_Dai-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324386/LP6005592-DNA_D03.srt.aln.bam	C	F	Dai	Howard Cann	EastAsia	China	?	21	100	Genomic_from_cell_lines	SAMEA3302827	FullyPublic
209	SAMEA3302864	LP6005443-DNA_B01	S_Dai-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324291/LP6005443-DNA_B01.srt.aln.bam	C	M	Dai	Howard Cann	EastAsia	China	?	21	100	Genomic_from_cell_lines	SAMEA3302864	FullyPublic
210	SAMEA3302785	LP6005441-DNA_D04	S_Dai-3	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312792/LP6005441-DNA_D04.srt.aln.bam	C	F	Dai	Howard Cann	EastAsia	China	?	21	100	Genomic_from_cell_lines	SAMEA3302785	FullyPublic
211	SAMEA3302903	LP6005441-DNA_D02	S_Basque-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312790/LP6005441-DNA_D02.srt.aln.bam	C	F	Basque	Howard Cann	WestEurasia	France	?	43	0	Genomic_from_cell_lines	SAMEA3302903	FullyPublic
212	SAMEA3302621	LP6005441-DNA_C02	S_Basque-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312782/LP6005441-DNA_C02.srt.aln.bam	C	M	Basque	Howard Cann	WestEurasia	France	?	43	0	Genomic_from_cell_lines	SAMEA3302621	FullyPublic
213	SAMEA3302768	LP6005677-DNA_A02	S_Kyrgyz-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324398/LP6005677-DNA_A02.srt.aln.bam	C	F	Kyrgyz	Robert Mahley / Ugur Hodoglugil	CentralAsiaSiberia	Kyrgyzystan	Bishkek	42.9	74.6	Genomic_from_blood	SAMEA3302768	FullyPublic
214	SAMEA3302717	LP6005677-DNA_B02	S_Kyrgyz-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324401/LP6005677-DNA_B02.srt.aln.bam	C	M	Kyrgyz	Robert Mahley / Ugur Hodoglugil	CentralAsiaSiberia	Kyrgyzystan	Bishkek	42.9	74.6	Genomic_from_blood	SAMEA3302717	FullyPublic
215	SAMEA3302649	LP6005442-DNA_A08	S_Hungarian-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312834/LP6005442-DNA_A08.srt.aln.bam	C	M	Hungarian	Coriell	WestEurasia	Hungary	Cell_line_repository_sampling_location_unknown	47.5	19.1	Genomic_from_cell_lines	SAMEA3302649	FullyPublic
216	SAMEA3302678	LP6005442-DNA_B08	S_Hungarian-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312840/LP6005442-DNA_B08.srt.aln.bam	C	F	Hungarian	Coriell	WestEurasia	Hungary	Cell_line_repository_sampling_location_unknown	47.5	19.1	Genomic_from_cell_lines	SAMEA3302678	FullyPublic
217	SAMEA3302809	LP6005677-DNA_A03	S_Turkish-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324399/LP6005677-DNA_A03.srt.aln.bam	C	F	Turkish	Robert Mahley / Ugur Hodoglugil	WestEurasia	Turkey	Kayseri	38.7	35.5	Genomic_from_blood	SAMEA3302809	FullyPublic
218	SAMEA3302750	LP6005677-DNA_C03	S_Turkish-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324402/LP6005677-DNA_C03.srt.aln.bam	C	M	Turkish	Robert Mahley / Ugur Hodoglugil	WestEurasia	Turkey	Kayseri	38.7	35.5	Genomic_from_blood	SAMEA3302750	FullyPublic
219	SAMEA3302756	LP6005441-DNA_E07	S_Mandenka-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312803/LP6005441-DNA_E07.srt.aln.bam	C	M	Mandenka	Howard Cann	Africa	Senegal	?	12	-12	Genomic_from_cell_lines	SAMEA3302756	FullyPublic
220	SAMEA3302850	LP6005441-DNA_F07	S_Mandenka-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312811/LP6005441-DNA_F07.srt.aln.bam	C	F	Mandenka	Howard Cann	Africa	Senegal	?	12	-12	Genomic_from_cell_lines	SAMEA3302850	FullyPublic
221	SAMEA3302834	LP6005519-DNA_G04	S_Madiga-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324372/LP6005519-DNA_G04.srt.aln.bam	C	M	Madiga	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	Visakhapatnam	17.7	83.3	Genomic_from_blood	SAMEA3302834	FullyPublic
222	SAMEA3302803	LP6005519-DNA_H04	S_Madiga-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324374/LP6005519-DNA_H04.srt.aln.bam	C	M	Madiga	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	Visakhapatnam	17.7	83.3	Genomic_from_blood	SAMEA3302803	FullyPublic
223	SAMEA3302670	LP6005443-DNA_B03	S_Eskimo_Sireniki-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324293/LP6005443-DNA_B03.srt.aln.bam	C	M	Eskimo_Sireniki	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Sireniki, Chukchi Peninsula"	64.4	173.9	Genomic_from_blood	SAMEA3302670	FullyPublic
224	SAMEA3302641	LP6005443-DNA_H03	S_Eskimo_Sireniki-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324344/LP6005443-DNA_H03.srt.aln.bam	C	F	Eskimo_Sireniki	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Sireniki, Chukchi Peninsula"	64.4	173.9	Genomic_from_blood	SAMEA3302641	FullyPublic
225	SAMEA3302734	LP6005443-DNA_C03	S_Chukchi-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324301/LP6005443-DNA_C03.srt.aln.bam	C	M	Chukchi	Rem Sukernik / Stanislav Dryomov	CentralAsiaSiberia	Russia	"Sireniki, Chukchi Peninsula"	69	169	Genomic_from_blood	SAMEA3302734	FullyPublic
226	SAMEA3302708	LP6005677-DNA_D03	S_Khomani_San-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324404/LP6005677-DNA_D03.srt.aln.bam	C	F	Khomani_San	Brenna Henn	Africa	SouthAfrica	"Andriesvale Northern Cape, South Africa"	-27	20.8	Genomic_from_saliva	SAMEA3302708	FullyPublic
227	SAMEA3302800	LP6005592-DNA_C05	S_Khomani_San-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324384/LP6005592-DNA_C05.srt.aln.bam	C	F	Khomani_San	Brenna Henn	Africa	SouthAfrica	"Andriesvale, Northern Cape, South Africa"	-27	20.8	Genomic_from_saliva	SAMEA3302800	FullyPublic
228	SAMEA3302735	LP6005442-DNA_H03	S_Estonian-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324278/LP6005442-DNA_H03.srt.aln.bam	C	M	Estonian	Mait Metspalu / Ene Metspalu / Richard Villems / JÙri Parik	WestEurasia	Estonia	Parnu	58.386	24.502	Genomic_from_blood	SAMEA3302735	FullyPublic
229	SAMEA3302679	LP6005442-DNA_G03	S_Estonian-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324270/LP6005442-DNA_G03.srt.aln.bam	C	M	Estonian	Mait Metspalu / Ene Metspalu / Richard Villems / JÙri Parik	WestEurasia	Estonia	Avinurme	58.985	26.864	Genomic_from_blood	SAMEA3302679	FullyPublic
230	SAMEA3302725	LP6005519-DNA_D04	S_Yadava-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324361/LP6005519-DNA_D04.srt.aln.bam	C	M	Yadava	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	Visakhapatnam	17.7	83.3	Genomic_from_blood	SAMEA3302725	FullyPublic
231	SAMEA3302740	LP6005519-DNA_C04	S_Yadava-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324356/LP6005519-DNA_C04.srt.aln.bam	C	M	Yadava	Lynn Jorde / Mike Bamshad / Scott Watkins	SouthAsia	India	Visakhapatnam	17.7	83.3	Genomic_from_blood	SAMEA3302740	FullyPublic
232	SAMEA3302639	LP6005441-DNA_D10	S_Pathan-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312796/LP6005441-DNA_D10.srt.aln.bam	C	F	Pathan	Howard Cann	SouthAsia	Pakistan	?	33.5	70.5	Genomic_from_cell_lines	SAMEA3302639	FullyPublic
233	SAMEA3302674	LP6005441-DNA_C10	S_Pathan-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312788/LP6005441-DNA_C10.srt.aln.bam	C	M	Pathan	Howard Cann	SouthAsia	Pakistan	?	33.5	70.5	Genomic_from_cell_lines	SAMEA3302674	FullyPublic
234	SAMEA3302628	LP6005442-DNA_A10	S_Esan-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312835/LP6005442-DNA_A10.srt.aln.bam	C	M	Esan	1KG	Africa	Nigeria	?	6.5	6	Genomic_from_cell_lines	SAMEA3302628	FullyPublic
235	SAMEA3302881	LP6005442-DNA_B10	S_Esan-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312841/LP6005442-DNA_B10.srt.aln.bam	C	F	Esan	1KG	Africa	Nigeria	?	6.5	6	Genomic_from_cell_lines	SAMEA3302881	FullyPublic
236	SAMEA3302765	LP6007069-DNA_A01	B_Crete-1	ftp.sra.ebi.ac.uk/vol1/ERZ329/ERZ329671/LP6007069-DNA_A01.srt.aln.bam	B	F	Crete	George Stamatoyannopoulos	WestEurasia	Greece	"Preveliana, Irakleioy"	35.166668	25.166666	Genomic_from_blood	SAMEA3302765	FullyPublic
237	SAMEA3302625	LP6007068-DNA_A01	B_Crete-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324531/LP6007068-DNA_A01.srt.aln.bam	B	M	Crete	George Stamatoyannopoulos	WestEurasia	Greece	"Psychro ,Lassithi"	35.163	25.445	Genomic_from_blood	SAMEA3302625	FullyPublic
238	SAMEA3302825	LP6005441-DNA_G08	S_Mozabite-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312821/LP6005441-DNA_G08.srt.aln.bam	C	M	Mozabite	Howard Cann	Africa	Algeria	?	32	3	Genomic_from_cell_lines	SAMEA3302825	FullyPublic
239	SAMEA3302836	LP6005441-DNA_H08	S_Mozabite-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312829/LP6005441-DNA_H08.srt.aln.bam	C	F	Mozabite	Howard Cann	Africa	Algeria	?	32	3	Genomic_from_cell_lines	SAMEA3302836	FullyPublic
240	SAMEA3302863	LP6005592-DNA_D04	S_Samaritan-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324387/LP6005592-DNA_D04.srt.aln.bam	C	M	Samaritan	Mait Metspalu / Doron Behar	WestEurasia	Israel	Mount Gerizim	32.203	35.27	Genomic_from_blood	SAMEA3302863	FullyPublic
241	SAMEA3302777	LP6005441-DNA_D08	S_Miao-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324871/LP6005441-DNA_D08.srt.aln.bam	C	F	Miao	Howard Cann	EastAsia	China	?	28	109	Genomic_from_cell_lines	SAMEA3302777	FullyPublic
242	SAMEA3302846	LP6005441-DNA_C08	S_Miao-1	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312786/LP6005441-DNA_C08.srt.aln.bam	C	M	Miao	Howard Cann	EastAsia	China	?	28	109	Genomic_from_cell_lines	SAMEA3302846	FullyPublic
243	SAMEA3302737	LP6005443-DNA_A01	S_BantuKenya-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324284/LP6005443-DNA_A01.srt.aln.bam	C	M	BantuKenya	Howard Cann	Africa	Kenya	?	-3	37	Genomic_from_cell_lines	SAMEA3302737	FullyPublic
244	SAMEA3302710	LP6005441-DNA_B02	S_BantuKenya-2	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324868/LP6005441-DNA_B02.srt.aln.bam	C	F	BantuKenya	Howard Cann	Africa	Kenya	?	-3	37	Genomic_from_cell_lines	SAMEA3302710	FullyPublic
245	SAMEA3302799	LP6005592-DNA_A04	S_Punjabi-4	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324376/LP6005592-DNA_A04.srt.aln.bam	C	F	Punjabi	1KG	SouthAsia	Pakistan	Lahore	31.5	74.3	Genomic_from_cell_lines	SAMEA3302799	FullyPublic
246	SAMEA3302885	LP6005442-DNA_B12	S_Punjabi-3	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312843/LP6005442-DNA_B12.srt.aln.bam	C	F	Punjabi	1KG	SouthAsia	Pakistan	Lahore	31.5	74.3	Genomic_from_cell_lines	SAMEA3302885	FullyPublic
247	SAMEA3302789	LP6005442-DNA_A12	S_Punjabi-2	ftp.sra.ebi.ac.uk/vol1/ERZ312/ERZ312836/LP6005442-DNA_A12.srt.aln.bam	C	M	Punjabi	1KG	SouthAsia	Pakistan	Lahore	31.5	74.3	Genomic_from_cell_lines	SAMEA3302789	FullyPublic
248	SAMEA3302907	LP6005592-DNA_B04	S_Punjabi-1	ftp.sra.ebi.ac.uk/vol1/ERZ324/ERZ324380/LP6005592-DNA_B04.srt.aln.bam	C	M	Punjabi	1KG	SouthAsia	Pakistan	Lahore	31.5	74.3	Genomic_from_cell_lines	SAMEA3302907	FullyPublic
